student_id,age,year,gpa,hostel_block,parent_contact_reliable,past_violations_30d,past_violations_365d,request_time_hour,requested_duration_hours,actual_return_delay_minutes,parent_response_time_minutes,parent_action,destination_risk,emergency_flag,group_request,weekend_request,previous_no_show,requests_last_7days,risk_score_continuous,label_violation
8270,20,1,8.0437431604813,A,1,0,0,23,1.62,63.1418307646532,10.8543967726219,1,MED,0,0,1,1,0,46.2269279806378,1
3558,18,4,7.07220708639666,D,0,0,0,18,1.93,0,62.4483156794523,1,LOW,0,1,1,0,0,27.3693199653234,0
8513,21,2,6.8982933877706,C,1,1,1,3,1.49,0,128.031737769494,1,LOW,0,0,0,0,0,24.435938575458,0
9529,23,1,5.91670578646311,D,1,0,1,14,0.72,33.0365437066151,4.20777163794442,1,LOW,0,0,0,0,0,17.0984297127611,0
4099,23,1,5.99184671045252,D,1,0,2,2,2.56,74.947580658996,60.318989774234,1,LOW,0,0,0,0,0,20.6635837146439,0
7019,22,1,8.54249161733942,C,1,0,0,12,0.32,0,33.1634488610455,1,MED,0,1,0,0,1,24.5077533467515,0
8392,17,1,6.15061002676699,B,1,0,0,18,1.26,0,7.2494616767854,1,LOW,0,0,1,0,0,24.7196929156321,0
8554,17,1,6.44539553053316,A,0,0,2,0,4.02,0,1.65076837009185,1,LOW,0,0,1,0,0,27.7961397573972,0
8777,22,2,6.61935918147023,A,1,0,2,3,0.07,0,21.6909462196848,1,LOW,0,0,0,0,0,8.33905956910554,0
6534,22,2,7.17793848379433,C,1,0,2,0,0.39,0,26.046484165856,1,LOW,0,1,0,0,0,23.717576947814,0
2648,24,4,7.72628826949888,C,1,2,1,2,4.22,0,46.871107112567,1,LOW,0,0,0,0,0,11.9299505585411,0
9050,22,3,7.64586185242831,B,1,1,3,14,2.71,0,7.66745213139183,1,LOW,0,1,0,0,0,26.7692105221227,0
2060,24,1,7.97323762457355,C,0,0,1,0,1.52,0,18.6747265313576,1,HIGH,0,0,1,0,1,34.459340820616,0
1784,24,1,7.55136085947964,A,1,0,0,22,2.18,0,9.65087770360473,1,LOW,0,0,1,0,0,20.4864570511141,0
7002,23,3,6.72717478546243,C,1,0,0,21,3.57,2.28380995696736,15.8501885041677,1,LOW,0,0,1,0,0,17.0881928782491,0
1876,24,4,7.71645858958198,B,1,0,3,16,2.04,0,8.52029627535143,1,LOW,0,0,1,0,0,23.5776733874095,0
8805,22,4,7.77106174874226,D,1,0,1,15,0.69,25.1020492227686,189.579148216256,1,LOW,0,1,1,0,1,46.2032356135437,1
5452,23,2,5.40620599596494,B,0,1,0,18,2.8,0,7.52696080625774,1,LOW,0,0,1,0,0,25.9855525745444,0
7833,19,4,7.72698430121935,C,0,0,2,12,0.97,0,15.318139859261,1,LOW,0,0,0,0,0,11.2271186469921,0
1825,21,2,5.78357555405603,A,0,0,2,4,5.56,0,19.6700742275382,1,MED,0,1,0,0,1,21.510589849262,0
5968,22,1,7.17402685901851,A,1,1,0,8,7.51,0,520.081289899539,0,LOW,0,0,1,0,0,30.0575148187511,0
4636,23,4,7.76931765425254,A,1,3,2,14,0.62,0,8.82668575023077,1,MED,0,0,0,0,0,19.6241535066576,0
2365,20,1,6.83577255669558,C,1,0,1,18,0.47,0,78.2658501118454,1,LOW,0,0,1,0,0,22.6789279018123,0
1504,23,4,9.03273891300258,A,1,0,3,14,8.87,0,32.2535265524675,1,LOW,0,0,0,0,1,10.5963751352537,0
2353,24,4,7.38906806437049,D,1,0,1,17,1.24,0,53.3198736941657,1,LOW,0,0,0,0,0,11.0256151786789,0
5804,23,1,8.14889324125355,B,1,1,0,23,1.89,0,3.62141730853975,0,MED,0,0,1,0,0,28.2502472778242,0
9175,23,2,7.84245691800752,A,0,0,3,13,0.92,0,135.847048098118,1,LOW,0,0,1,0,0,16.8860017733741,0
1770,19,2,7.23173693805049,D,1,1,2,22,5.63,0,7.65283784683232,1,LOW,0,0,1,0,0,25.6448677495518,0
2331,17,2,8.3660705160428,B,1,2,2,23,0.19,0,18.1092688815157,1,LOW,0,0,1,0,0,14.9356957147024,0
